sub_county,total_population,male,female,households,conventional_households,group_quarters,land_area_sq_km,population_density
MANDERA EAST,159638.0,83538.0,76095.0,25904.0,25206.0,698.0,2506.0,64.0
MANDERA NORTH,143850.0,77008.0,66835.0,19117.0,19030.0,87.0,5138.0,28.0
MARSABIT,459785.0,243548.0,216219.0,77495.0,76689.0,806.0,70944.0,6.0
LOIYANGALANI,35713.0,17659.0,18051.0,7774.0,7646.0,128.0,11789.0,3.0
MARSABIT CENTRAL,79181.0,40956.0,38214.0,15849.0,15658.0,191.0,2143.0,37.0
MARSABIT NORTH,54297.0,30091.0,24205.0,7521.0,7468.0,53.0,19837.0,3.0
MARSABIT SOUTH,65376.0,33215.0,32161.0,11615.0,11563.0,52.0,8447.0,8.0
MOYALE,108949.0,56440.0,52508.0,17709.0,17591.0,118.0,3327.0,33.0
NORTH HORR,71447.0,41719.0,29726.0,9789.0,9601.0,188.0,19337.0,4.0
SOLOLO,44822.0,23468.0,21354.0,7238.0,7162.0,76.0,6064.0,7.0
ISIOLO,268002.0,139510.0,128483.0,58072.0,53217.0,4855.0,25349.0,11.0
GARBATULLA,99730.0,54661.0,45068.0,18661.0,17047.0,1614.0,9902.0,10.0
ISIOLO,121066.0,60414.0,60647.0,29853.0,27612.0,2241.0,2691.0,45.0
MERTI,47206.0,24435.0,22768.0,9558.0,8558.0,1000.0,12756.0,4.0
MERU,1545714.0,767698.0,777975.0,426360.0,423931.0,2429.0,7014.0,220.0
BUURI EAST,76598.0,38101.0,38497.0,23834.0,23737.0,97.0,333.0,230.0
BUURI WEST,80762.0,40496.0,40264.0,27973.0,27905.0,68.0,639.0,126.0
IGEMBE CENTRAL,221412.0,111208.0,110200.0,52031.0,51848.0,183.0,603.0,367.0
IGEMBE NORTH,169317.0,83364.0,85949.0,38871.0,38716.0,155.0,1113.0,152.0
IGEMBE SOUTH,161646.0,80192.0,81446.0,43281.0,43222.0,59.0,255.0,633.0
IMENTI NORTH,177567.0,88506.0,89056.0,57668.0,57556.0,112.0,232.0,767.0
IMENTI SOUTH,206506.0,103338.0,103162.0,64186.0,63954.0,232.0,418.0,494.0
MERU CENTRAL,133818.0,66920.0,66894.0,39595.0,39498.0,97.0,377.0,355.0
TIGANIA CENTRAL,104730.0,51814.0,52916.0,25039.0,24983.0,56.0,237.0,441.0
TIGANIA EAST,72549.0,35352.0,37194.0,17185.0,16791.0,394.0,511.0,142.0
TIGANIA WEST,139961.0,67715.0,72241.0,36207.0,35402.0,805.0,399.0,351.0
MERU NATIONAL PARK ..,3.0,85.0,283.0,102.0,207.0,46.0,161.0,838.0
MT. KENYA FOREST ..,4.0,63.0,409.0,54.0,283.0,273.0,10.0,1060.0
THARAKA-NITHI,393177.0,193764.0,199406.0,109860.0,109450.0,410.0,2564.0,153.0
IGAMBANG'OMBE,53210.0,26464.0,26745.0,14398.0,14383.0,15.0,323.0,165.0
MAARA,114894.0,57689.0,57205.0,35041.0,34779.0,262.0,266.0,431.0
MERU SOUTH,91080.0,44923.0,46155.0,28249.0,28211.0,38.0,139.0,656.0
THARAKA NORTH,58345.0,28290.0,30053.0,13413.0,13403.0,10.0,839.0,70.0
THARAKA SOUTH,75250.0,36190.0,39058.0,18646.0,18603.0,43.0,637.0,118.0
MOUNT KENYA FOREST,398.0,208.0,190.0,113.0,71.0,42.0,360.0,1.0
EMBU,608599.0,304208.0,304367.0,182743.0,182427.0,316.0,2821.0,216.0
EMBU EAST,129564.0,64571.0,64991.0,39678.0,39586.0,92.0,253.0,512.0
EMBU NORTH,79556.0,39665.0,39888.0,24300.0,24294.0,6.0,111.0,719.0
EMBU WEST,127100.0,63125.0,63966.0,43153.0,43126.0,27.0,158.0,804.0
MBEERE SOUTH,163476.0,83311.0,80159.0,46065.0,45924.0,141.0,1312.0,125.0
MBEERE NORTH,108881.0,53517.0,55360.0,29528.0,29483.0,45.0,784.0,139.0
MOUNT KENYA FOREST ..,2.0,2.0,19.0,3.0,19.0,14.0,5.0,203.0
KITUI,1136187.0,549003.0,587151.0,262942.0,261814.0,1128.0,30430.0,37.0
IKUTHA,82964.0,39986.0,42976.0,16679.0,16579.0,100.0,9033.0,9.0
KATULANI,47108.0,23150.0,23957.0,12170.0,12166.0,4.0,324.0,146.0
KISASI,46142.0,22646.0,23496.0,10866.0,10860.0,6.0,295.0,157.0
KITUI CENTRAL,105991.0,52123.0,53863.0,29057.0,29026.0,31.0,422.0,251.0
KITUI WEST,70871.0,33887.0,36983.0,17497.0,17465.0,32.0,416.0,170.0
KYUSO,76867.0,36789.0,40077.0,15993.0,15969.0,24.0,2525.0,30.0
LOWER YATTA,63329.0,31701.0,31628.0,15454.0,15021.0,433.0,1191.0,53.0
MATINYANI,47811.0,23362.0,24448.0,11513.0,11497.0,16.0,264.0,181.0
MIGWANI,79255.0,37525.0,41726.0,19096.0,18843.0,253.0,635.0,125.0
MUMONI,29344.0,13748.0,15596.0,6496.0,6451.0,45.0,611.0,48.0
MUTITU,55287.0,26388.0,28896.0,11521.0,11490.0,31.0,4710.0,12.0
MUTITU NORTH,21215.0,10337.0,10877.0,4929.0,4929.0,,548.0,39.0
MUTOMO,113356.0,54819.0,58531.0,23044.0,23034.0,10.0,2853.0,40.0
MWINGI CENTRAL,108713.0,52539.0,56174.0,26753.0,26745.0,8.0,1146.0,95.0
MWINGI EAST,85139.0,40314.0,44820.0,18730.0,18725.0,5.0,3418.0,25.0
NZAMBANI,46788.0,22929.0,23857.0,11276.0,11276.0,,320.0,146.0
THAGICU,15136.0,7141.0,7994.0,3289.0,3289.0,,363.0,42.0
TSEIKURU,40871.0,19619.0,21252.0,8579.0,8449.0,130.0,1356.0,30.0
MACHAKOS,1421932.0,710707.0,711191.0,402466.0,399523.0,2943.0,6037.0,236.0
ATHI RIVER,322499.0,164322.0,158172.0,109735.0,109723.0,12.0,835.0,386.0
KALAMA,54462.0,26764.0,27692.0,14182.0,14137.0,45.0,480.0,113.0
KANGUNDO,97917.0,48697.0,49219.0,26142.0,26115.0,27.0,173.0,565.0
KATHIANI,111890.0,54910.0,56976.0,28730.0,28730.0,,204.0,548.0
MACHAKOS,170606.0,85486.0,85114.0,50979.0,50753.0,226.0,280.0,609.0
MASINGA,148522.0,73519.0,75001.0,36251.0,36196.0,55.0,1407.0,106.0
MATUNGULU,161557.0,81145.0,80407.0,44454.0,44399.0,55.0,581.0,278.0
MWALA,181896.0,90427.0,91466.0,45840.0,45809.0,31.0,1013.0,179.0
YATTA,172583.0,85437.0,87144.0,46153.0,43661.0,2492.0,1062.0,162.0
MAKUENI,987653.0,489691.0,497942.0,244669.0,243979.0,690.0,8177.0,121.0
KATHONZWENI,79780.0,39335.0,40442.0,18365.0,18362.0,3.0,881.0,91.0
KIBWEZI,197000.0,98477.0,98517.0,47912.0,47594.0,318.0,3137.0,63.0
KILUNGU,60952.0,29019.0,31932.0,14586.0,14563.0,23.0,154.0,395.0
MAKINDU,84946.0,42204.0,42742.0,21756.0,21662.0,94.0,852.0,100.0
MAKUENI,130375.0,65418.0,64955.0,34479.0,34352.0,127.0,609.0,214.0
MBOONI EAST,97756.0,48152.0,49601.0,23734.0,23724.0,10.0,693.0,141.0
MBOONI WEST,102594.0,49434.0,53159.0,24833.0,24807.0,26.0,271.0,379.0
MUKAA,107549.0,54481.0,53068.0,28185.0,28109.0,76.0,804.0,134.0
NZAUI,126701.0,63171.0,63526.0,30819.0,30806.0,13.0,775.0,163.0
NYANDARUA,638289.0,315022.0,323247.0,179686.0,178224.0,1462.0,3286.0,194.0
KINANGOP,111410.0,54727.0,56679.0,30970.0,30847.0,123.0,294.0,379.0
NYANDARUA SOUTH,93870.0,46157.0,47708.0,25822.0,25650.0,172.0,314.0,299.0
MIRANGINE,67214.0,33447.0,33766.0,18816.0,17880.0,936.0,246.0,274.0
KIPIPIRI,93855.0,46113.0,47740.0,25200.0,25077.0,123.0,456.0,206.0
NYANDARUA CENTRAL,75262.0,37329.0,37931.0,21942.0,21852.0,90.0,347.0,217.0
NYANDARUA WEST,97965.0,48752.0,49209.0,29008.0,29003.0,5.0,385.0,255.0
NYANDARUA NORTH,98698.0,48486.0,50210.0,27917.0,27906.0,11.0,528.0,187.0
ABERDARE NATIONAL PARK ..,1.0,5.0,11.0,4.0,11.0,9.0,2.0,717.0
NYERI,759164.0,374288.0,384845.0,248050.0,244564.0,3486.0,3325.0,228.0
TETU,80453.0,39293.0,41155.0,24139.0,24122.0,17.0,217.0,372.0
KIENI EAST,110376.0,55360.0,55012.0,36835.0,36751.0,84.0,449.0,246.0
KIENI WEST,88525.0,43843.0,44677.0,27619.0,27530.0,89.0,518.0,171.0
MATHIRA EAST,99065.0,48070.0,50992.0,35044.0,33945.0,1099.0,130.0,760.0
MATHIRA WEST,59895.0,29480.0,30412.0,19020.0,18892.0,128.0,162.0,369.0
NYERI SOUTH,91081.0,44115.0,46964.0,28228.0,28103.0,125.0,169.0,538.0
MUKURWE-INI,89137.0,43975.0,45156.0,27040.0,27036.0,4.0,179.0,498.0
NYERI CENTRAL,140338.0,69955.0,70380.0,49945.0,48036.0,1909.0,168.0,837.0
MT. KENYA FOREST ..,1.0,88.0,123.0,65.0,101.0,101.0,,611.0
ABERDARE FOREST ..,1.0,6.0,74.0,32.0,79.0,48.0,31.0,722.0
KIRINYAGA,610411.0,302011.0,308369.0,204188.0,203576.0,612.0,1478.0,413.0
KIRINYAGA CENTRAL,122740.0,60118.0,62617.0,40225.0,40149.0,76.0,153.0,800.0
KIRINYAGA EAST,135559.0,67037.0,68514.0,44571.0,44509.0,62.0,232.0,585.0
KIRINYAGA WEST,114660.0,56154.0,58502.0,38309.0,37951.0,358.0,208.0,552.0
MWEA EAST,132554.0,66432.0,66114.0,46340.0,46331.0,9.0,303.0,437.0
MWEA WEST,104828.0,52228.0,52594.0,34720.0,34613.0,107.0,239.0,438.0
MOUNT KENYA FOREST ..,7.0,0.0,42.0,28.0,23.0,23.0,,343.0
MURANG'A,1056640.0,523940.0,532669.0,318105.0,317496.0,609.0,2523.0,419.0
MURANG'A EAST,110311.0,54665.0,55645.0,34734.0,34650.0,84.0,241.0,458.0
KANGEMA,80447.0,39582.0,40862.0,25293.0,25283.0,10.0,174.0,463.0
MATHIOYA,92814.0,45454.0,47359.0,28400.0,28372.0,28.0,178.0,523.0
KAHURO,88193.0,43352.0,44834.0,26930.0,26778.0,152.0,169.0,521.0
MURANG'A SOUTH,184824.0,91732.0,93087.0,55998.0,55878.0,120.0,457.0,405.0
GATANGA,187989.0,94437.0,93548.0,55461.0,55340.0,121.0,531.0,354.0
KIGUMO,136921.0,67989.0,68929.0,40552.0,40528.0,24.0,244.0,561.0
KANDARA,175098.0,86698.0,88393.0,50704.0,50657.0,47.0,235.0,746.0
ABERDARE FOREST ..,4.0,3.0,31.0,12.0,33.0,10.0,23.0,295.0
KIAMBU,2417735.0,1187146.0,1230454.0,795241.0,792333.0,2908.0,2539.0,952.0
GATUNDU NORTH,109870.0,54189.0,55678.0,31472.0,31452.0,20.0,286.0,384.0
GATUNDU SOUTH,122103.0,60384.0,61714.0,35609.0,35577.0,32.0,194.0,631.0
GITHUNGURI,165232.0,82037.0,83187.0,49426.0,49414.0,12.0,174.0,948.0
JUJA,300948.0,148446.0,152480.0,104301.0,104042.0,259.0,342.0,880.0
KABETE,199653.0,97794.0,101845.0,66710.0,66681.0,29.0,61.0,3289.0
KIAMBAA,236400.0,115690.0,120695.0,80332.0,80316.0,16.0,91.0,2595.0
KIAMBU,145903.0,69661.0,76225.0,47275.0,46816.0,459.0,98.0,1483.0
KIKUYU,187122.0,90919.0,96198.0,60686.0,60619.0,67.0,173.0,1082.0
LARI,135303.0,67061.0,68238.0,38592.0,38585.0,7.0,432.0,313.0
LIMURU,159314.0,79632.0,79682.0,49174.0,49096.0,78.0,285.0,559.0
RUIRU,371111.0,180947.0,190144.0,129470.0,127910.0,1560.0,201.0,1846.0
THIKA EAST,38956.0,19688.0,19264.0,12736.0,12736.0,,110.0,354.0
THIKA WEST,245820.0,120698.0,125104.0,89458.0,89089.0,369.0,91.0,2689.0
TURKANA,926976.0,478087.0,448868.0,164519.0,162627.0,1892.0,68233.0,14.0
KIBISH,36769.0,18651.0,18117.0,5805.0,5699.0,106.0,10466.0,4.0
LOIMA,107795.0,54341.0,53453.0,19438.0,19139.0,299.0,9120.0,12.0
TURKANA CENTRAL,185305.0,93145.0,92160.0,38173.0,37917.0,256.0,6415.0,29.0
TURKANA EAST,138526.0,76871.0,61643.0,17981.0,17887.0,94.0,11396.0,12.0
TURKANA NORTH,65218.0,32810.0,32408.0,13119.0,12964.0,155.0,7012.0,9.0
TURKANA SOUTH,153736.0,78402.0,75329.0,24552.0,24281.0,271.0,7045.0,22.0
TURKANA WEST,239627.0,123867.0,115758.0,45451.0,44740.0,711.0,16779.0,14.0
WEST POKOT,621241.0,307013.0,314213.0,116182.0,115761.0,421.0,9123.0,68.0
KIPKOMO,102633.0,50923.0,51703.0,18370.0,18367.0,3.0,766.0,134.0
POKOT CENTRAL,119016.0,59682.0,59331.0,21850.0,21784.0,66.0,2055.0,58.0
POKOT NORTH,134485.0,64780.0,69702.0,25804.0,25736.0,68.0,3911.0,34.0
POKOT SOUTH,80661.0,39808.0,40851.0,13817.0,13752.0,65.0,537.0,150.0
WEST POKOT,184446.0,91820.0,92626.0,36341.0,36122.0,219.0,1855.0,99.0
SAMBURU,310327.0,156774.0,153546.0,65910.0,63951.0,1959.0,21090.0,15.0
SAMBURU CENTRAL,164942.0,83633.0,81307.0,34202.0,33720.0,482.0,3699.0,45.0
SAMBURU EAST,77994.0,38211.0,39782.0,18424.0,17307.0,1117.0,10016.0,8.0
SAMBURU NORTH,67391.0,34930.0,32457.0,13284.0,12924.0,360.0,7375.0,9.0
TRANS NZOIA,990341.0,489107.0,501206.0,223808.0,222989.0,819.0,2495.0,397.0
TRANS NZOIA WEST,202377.0,101198.0,101174.0,47603.0,47576.0,27.0,355.0,569.0
TRANS NZOIA EAST,229538.0,113498.0,116029.0,50017.0,49955.0,62.0,629.0,365.0
KWANZA,203821.0,100234.0,103584.0,45752.0,45599.0,153.0,465.0,438.0
ENDEBESS,111782.0,56090.0,55689.0,23705.0,23246.0,459.0,678.0,165.0
KIMININI,242823.0,118087.0,124730.0,56731.0,56613.0,118.0,367.0,662.0
UASIN GISHU,1163186.0,580269.0,582889.0,304943.0,301110.0,3833.0,3399.0,342.0
AINABKOI,138184.0,68348.0,69835.0,34892.0,34862.0,30.0,483.0,286.0
KAPSERET,198499.0,99650.0,98845.0,59746.0,59678.0,68.0,299.0,663.0
KESSES,148798.0,74301.0,74493.0,34653.0,34623.0,30.0,748.0,199.0
MOIBEN,181338.0,90309.0,91027.0,46729.0,46602.0,127.0,770.0,236.0
SOY,229094.0,114082.0,115007.0,53784.0,53758.0,26.0,668.0,343.0
TURBO,267273.0,133579.0,133682.0,75139.0,71587.0,3552.0,431.0,620.0
ELGEYO/MARAKWET,454480.0,227317.0,227151.0,99861.0,99119.0,742.0,3032.0,150.0
KEIYO NORTH,99176.0,49601.0,49574.0,21947.0,21749.0,198.0,543.0,183.0
KEIYO SOUTH,120750.0,60919.0,59827.0,27029.0,26740.0,289.0,898.0,134.0
MARAKWET EAST,97041.0,47849.0,49190.0,21362.0,21123.0,239.0,853.0,114.0
MARAKWET WEST,137513.0,68948.0,68560.0,29523.0,29507.0,16.0,738.0,186.0
NANDI,885711.0,441259.0,444430.0,199426.0,199040.0,386.0,2849.0,311.0
CHESUMEI,164133.0,80949.0,83180.0,39051.0,39011.0,40.0,475.0,346.0
NANDI CENTRAL,147553.0,73291.0,74255.0,34400.0,34247.0,153.0,362.0,407.0
NANDI EAST,119173.0,59899.0,59271.0,29253.0,29249.0,4.0,392.0,304.0
NANDI NORTH,166171.0,82512.0,83656.0,35297.0,35257.0,40.0,606.0,274.0
NANDI SOUTH,172750.0,85718.0,87029.0,37094.0,37038.0,56.0,457.0,378.0
TINDERET,115931.0,58890.0,57039.0,24331.0,24238.0,93.0,557.0,208.0
BARINGO,666763.0,336322.0,330428.0,142518.0,141877.0,641.0,10985.0,61.0
BARINGO CENTRAL,96951.0,48120.0,48829.0,23555.0,23523.0,32.0,786.0,123.0
BARINGO NORTH,104871.0,52369.0,52500.0,23500.0,23345.0,155.0,1629.0,64.0
EAST POKOT,79923.0,40462.0,39459.0,14498.0,14392.0,106.0,2500.0,32.0
KOIBATEK,129535.0,65295.0,64238.0,30774.0,30752.0,22.0,939.0,138.0
MARIGAT,90955.0,45706.0,45246.0,19854.0,19658.0,196.0,1405.0,65.0
MOGOTIO,91104.0,46014.0,45088.0,18184.0,18169.0,15.0,1375.0,66.0
TIATY EAST,73424.0,38356.0,35068.0,12153.0,12038.0,115.0,2163.0,34.0
LAKE BARINGO,,,,,,,186.0,
LAIKIPIA,518560.0,259440.0,259102.0,149271.0,145776.0,3495.0,9508.0,55.0
LAIKIPIA CENTRAL,95594.0,47888.0,47705.0,30372.0,29877.0,495.0,1233.0,78.0
LAIKIPIA EAST,102815.0,52078.0,50732.0,33505.0,31311.0,2194.0,1539.0,67.0
LAIKIPIA NORTH,36184.0,18067.0,18116.0,7752.0,7694.0,58.0,2550.0,14.0
LAIKIPIA WEST,129263.0,65158.0,64102.0,33025.0,32821.0,204.0,3372.0,38.0
NYAHURURU,154704.0,76249.0,78447.0,44617.0,44073.0,544.0,813.0,190.0
NAKURU,2162202.0,1077272.0,1084835.0,616046.0,598237.0,17809.0,7505.0,288.0
GILGIL,185209.0,92955.0,92247.0,58920.0,49405.0,9515.0,1075.0,172.0
KURESOI NORTH,175074.0,87472.0,87599.0,40359.0,40168.0,191.0,618.0,283.0
KURESOI SOUTH,155324.0,78204.0,77117.0,34627.0,34543.0,84.0,591.0,263.0
MOLO,156732.0,78129.0,78598.0,41462.0,41439.0,23.0,483.0,324.0
NAIVASHA,355383.0,179222.0,176132.0,117633.0,111493.0,6140.0,1958.0,181.0
NAKURU EAST,193926.0,92956.0,100960.0,61398.0,60066.0,1332.0,231.0,840.0
NAKURU NORTH,218050.0,106155.0,111880.0,61728.0,61582.0,146.0,387.0,563.0
NAKURU WEST,198661.0,101797.0,96854.0,64481.0,64429.0,52.0,72.0,2764.0
NJORO,238773.0,118361.0,120408.0,61271.0,61156.0,115.0,699.0,341.0
RONGAI,199906.0,99976.0,99922.0,52348.0,52248.0,100.0,988.0,202.0
SUBUKIA,85164.0,42045.0,43118.0,21819.0,21708.0,111.0,402.0,212.0
NAROK,1157873.0,579042.0,578805.0,241125.0,238115.0,3010.0,17932.0,65.0
NAROK EAST,115323.0,58699.0,56617.0,25078.0,24860.0,218.0,2042.0,56.0
NAROK NORTH,251862.0,128024.0,123829.0,59996.0,59802.0,194.0,2159.0,117.0
NAROK SOUTH,238472.0,118441.0,120029.0,46723.0,46549.0,174.0,4577.0,52.0
NAROK WEST,195287.0,97085.0,98198.0,38658.0,37782.0,876.0,5563.0,35.0
TRANS MARA EAST,111183.0,54545.0,56637.0,20506.0,20439.0,67.0,310.0,359.0
TRANS MARA WEST,245714.0,122220.0,123491.0,50132.0,48683.0,1449.0,2546.0,97.0
MAU FOREST ..,3.0,2.0,28.0,4.0,32.0,,32.0,734.0
KAJIADO,1117840.0,557098.0,560704.0,316179.0,313218.0,2961.0,21871.0,51.0
ISINYA,210473.0,105607.0,104860.0,71579.0,71395.0,184.0,1072.0,196.0
KAJIADO CENTRAL,161862.0,81514.0,80343.0,37238.0,37059.0,179.0,4239.0,38.0
KAJIADO NORTH,306596.0,150675.0,155908.0,101378.0,100908.0,470.0,111.0,2773.0
KAJIADO WEST,182849.0,91607.0,91237.0,42774.0,42367.0,407.0,7862.0,23.0
LOITOKITOK,191846.0,94613.0,97225.0,47058.0,45581.0,1477.0,6337.0,30.0
MASHUURU,64214.0,33082.0,31131.0,16152.0,15908.0,244.0,2251.0,29.0
KERICHO,901777.0,450741.0,451008.0,206036.0,205932.0,104.0,2436.0,370.0
BELGUT,145072.0,72508.0,72564.0,35012.0,34978.0,34.0,264.0,549.0
BURETI,199470.0,98823.0,100642.0,43117.0,43098.0,19.0,321.0,622.0
KERICHO EAST,170625.0,86671.0,83947.0,44246.0,44246.0,,241.0,709.0
KIPKELION,122530.0,61066.0,61460.0,24688.0,24676.0,12.0,350.0,350.0
LONDIANI,137580.0,68570.0,69000.0,31778.0,31739.0,39.0,400.0,344.0
SOIN SIGOWET,126500.0,63103.0,63395.0,27195.0,27195.0,,466.0,271.0
MAU FOREST,,,,,,,201.0,
TINDERET FOREST,,,,,,,194.0,
BOMET,875689.0,434287.0,441379.0,187641.0,187230.0,411.0,2507.0,349.0
BOMET EAST,144275.0,71095.0,73172.0,29958.0,29897.0,61.0,305.0,473.0
CHEPALUNGU,164837.0,79921.0,84912.0,33931.0,33850.0,81.0,461.0,358.0
KONOIN,163507.0,83120.0,80384.0,38178.0,38123.0,55.0,393.0,417.0
SOTIK,227855.0,112369.0,115482.0,47315.0,47265.0,50.0,544.0,419.0
BOMET CENTRAL,175215.0,87782.0,87429.0,38259.0,38095.0,164.0,286.0,613.0
MAU FOREST,,,,,,,519.0,
KAKAMEGA,1867579.0,897133.0,970406.0,433207.0,432284.0,923.0,3017.0,619.0
BUTERE,154100.0,73634.0,80463.0,36243.0,36243.0,,210.0,734.0
KAKAMEGA CENTRAL,188212.0,92774.0,95432.0,52015.0,51956.0,59.0,155.0,1212.0
KAKAMEGA EAST,167641.0,80853.0,86784.0,39589.0,39589.0,,417.0,402.0
KAKAMEGA NORTH,238330.0,115511.0,122814.0,51083.0,50952.0,131.0,421.0,566.0
KAKAMEGA SOUTH,111743.0,53219.0,58524.0,26964.0,26940.0,24.0,146.0,764.0
KHWISERO,113476.0,53670.0,59803.0,27681.0,27681.0,,146.0,779.0
LIKUYANI,152055.0,73710.0,78341.0,35322.0,34776.0,546.0,316.0,481.0
LUGARI,122728.0,59135.0,63593.0,27862.0,27817.0,45.0,254.0,483.0
MATETE,66172.0,31749.0,34423.0,13956.0,13956.0,,103.0,644.0
MATUNGU,166940.0,78793.0,88143.0,36457.0,36414.0,43.0,276.0,606.0
MUMIAS EAST,116851.0,55895.0,60953.0,26049.0,25995.0,54.0,150.0,778.0
MUMIAS WEST,115354.0,54915.0,60438.0,27671.0,27650.0,21.0,163.0,706.0
NAVAKHOLO,153977.0,73275.0,80695.0,32315.0,32315.0,,259.0,594.0
